"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"6 years ago","Explicação simples e clara como a luz do sol, assisti os 4 vídeos. Entendi melhor que na faculdade, muito obrigado!!","43","@mateusmx1217","false","false","false","false","","false",""
"6 years ago","Valeu Mateus! Compartilhe com seus colegas por favor!","4","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago"," @canaldaengenhariademanufat1438  boa noite, como eu faço pra determinar qual o tipo de afastamento fundamental irei utilizar em conjunto Furo/eixo de 100 mm dimensao nominal? estava vendo naquele grafico com esses afastamento, mas nao consegui entender direito como escolher as letras de afastam. ficarei grato se me responder","1","@LeonardoBarbosa-sd2jy","true","false","false","false","","false",""
"3 years ago"," @LeonardoBarbosa-sd2jy  depende da sua aplicação, se você precisa de um acoplamento com folga ou interferência. Geralmente trabalhar com furo ou eixo h facilita, ai dependendo do tipo de acoplamento que você tem escolhe a letra do outro elemento para dar uma interferência leve ou pesada por exemplo.","1","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago","O livro ""NOVASKI, Olívio. Introdução à engenharia de fabricação mecânica. Editora Blucher, 2020"" pode te ajudar.","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"3 years ago","Explicou em 11 min o q meu  professor levou 3 hrs, apenas. Vídeo maravilhoso ta de parabens!","18","@LucasSantos-qw5ew","false","false","false","false","","false",""
"1 year ago","120 slides confusos em 11 min de pura didática","0","@matheusnascimento4331","true","false","false","false","","false",""
"6 years ago","Estou cursando engenharia mecânica e os seus vídeos ajudaram mto, obg !!","10","@paulohenriqueabreu5246","false","false","false","false","","false",""
"6 years ago","Valeu Paulo, fico feliz por ajudar. Boa sorte na graduação!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"4 years ago","Cara sem palavras, explicação excelente, conseguiu explicar em um vídeo oque meu professor não conseguiu deixar claro em 3 aulas, meus parabéns","3","@MarcusVinicius-pi6jk","false","false","false","false","","false",""
"4 years ago","Valeu demais Marcus!","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"4 years ago","Estou passando aqui para agradecer o senhor pela excelente explicação, meu professor explicou de um jeito muito complicado e já estava achando que era um bicho de sete cabeças, então muito obrigado pela excelente didática. E só uma pergunta; o senhor corrigiria exercícios a respeito desse assunto se enviados por exemplo pelo email para o senhor?","3","@arturoliveiragarciamatos1105","false","false","false","false","","false",""
"4 years ago","Valeu Artur, infelizmente não posso te ajudar com a correção, mas sugiro procurar no site do Stefanelli, lá tem um simulador de tolerâncias e ajustes que serve de gabarito.","0","@canaldaengenhariademanufat1438","true","false","false","false","","false",""
"4 years ago","Ele é meu professor kkkk","0","@arturoliveiragarciamatos1105","true","false","false","false","","false",""
"4 years ago","Mas valeu, obrigado","0","@arturoliveiragarciamatos1105","true","false","false","false","","false",""
