especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
goiaba,2.3587160891754,5.57575757575758,0.910521212121212,0.157357575757576,0.694860606060606,1.15689696969697,2.31321212121212,0.789
goiaba,2.29076013967231,5.81818181818182,0.912412121212121,0.160557575757576,0.650751515151515,1.24627878787879,2.23266666666667,0.763
goiaba,1.88718775181305,5.1030303030303,0.823987878787879,0.168060606060606,0.572387878787879,1.10241212121212,2.14602424242424,0.819
goiaba,1.23247381144239,5.22424242424242,0.747890909090909,0.284812121212121,0.249357575757576,1.23671515151515,2.33575757575758,0.941
goiaba,0.970722535589578,3.68484848484849,0.601345454545455,0.154339393939394,0.311006060606061,0.860339393939394,1.67524848484848,0.868
goiaba,2.14893902766586,6.07272727272727,0.916933333333333,0.282957575757576,0.471575757575758,1.43167272727273,2.7117696969697,0.909
goiaba,0.987107171635778,4.06060606060606,0.611127272727273,0.157648484848485,0.309030303030303,0.890230303030303,1.65362424242424,0.841
goiaba,1.36999731399409,4.42424242424242,0.708993939393939,0.141818181818182,0.518060606060606,1.03229090909091,1.78855757575758,0.798
goiaba,1.18184260005372,4.84848484848485,0.70249696969697,0.232072727272727,0.272763636363636,1.11860606060606,2.04741818181818,0.908
goiaba,1.2634971796938,4.59393939393939,0.693818181818182,0.195078787878788,0.347721212121212,1.04818181818182,1.972,0.883
goiaba,1.4174053182917,4.95757575757576,0.750690909090909,0.207224242424242,0.399854545454545,1.14826666666667,2.0333696969697,0.874
goiaba,2.07977437550363,5.35757575757576,0.859381818181818,0.196181818181818,0.550945454545455,1.22083636363636,2.3477696969697,0.848
goiaba,1.29170024174053,4.63030303030303,0.721260606060606,0.213660606060606,0.37950303030303,1.12098181818182,2.05174545454545,0.898
goiaba,1.65283373623422,4.86060606060606,0.806266666666667,0.231927272727273,0.43310303030303,1.18084848484848,2.34107878787879,0.905
goiaba,1.77074939564867,4.61818181818182,0.786630303030303,0.104387878787879,0.629006060606061,0.99590303030303,1.88730909090909,0.719
goiaba,1.11697555734623,4.02424242424242,0.634787878787879,0.127866666666667,0.427963636363636,0.883769696969697,1.63404848484848,0.804
